"author","isLocalGuide","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","accurateDate","images","reviewUrl","reviewSource","originalText","responseFromOwner","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Zach Paul","True","Dorm food is easily the best part about the college experience. They tell you about the Freshman 15, and that goes directly out the window as soon as you get here. The food was pretty typical when I went here the other day, but sometimes that's all you need when you've been away from a university for a while. Just a meal that was made for a college student.","3","5.0","","6 years ago","2018-09-14","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNBaFlPX0NnEAE!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgICAhYO_Cg%7CCgwIqOzs3AUQsKCxjgI%7C?hl=en","www.google.com","Dorm food is easily the best part about the college experience. They tell you about the Freshman 15, and that goes directly out the window as soon as you get here. The food was pretty typical when I went here the other day, but sometimes that's all you need when you've been away from a university for a while. Just a meal that was made for a college student.","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Mark Kallaus","False","Great variety. Burrito bar excellent!","5","5.0","","4 years ago","2020-02-22","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURzbUlIUHZRRRAB!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgIDsmIHPvQE%7CCgsIpP3F8gUQwKXhGg%7C?hl=en","www.google.com","Great variety. Burrito bar excellent!","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"jack Kennedy","False","","3","5.0","","5 years ago","2019-10-01","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMwcWY3dWtRRRAB!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgIC0qf7ukQE%7CCgwIxrjP7AUQkPbe7wI%7C?hl=en","www.google.com","","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Isaac Linn","True","This place has amazing food!","5","5.0","","6 years ago","2018-09-17","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBaVBLYjFnRRAB!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgIDAiPKb1gE%7CCgwIr-z-3AUQ8LXhywE%7C?hl=en","www.google.com","This place has amazing food!","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Brett Ingram","False","","3","5.0","","5 years ago","2019-04-16","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZbGZPU3RRRRAB!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgICYlfOStQE%7CCgwIlo_Z5QUQoJvY6wE%7C?hl=en","www.google.com","","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Misty Edwards","True","Very cool place!","5","5.0","","5 years ago","2020-01-15","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURNajlUc2V3EAE!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgIDMj9Tsew%7CCgwI8Pz98AUQ6Ie7kAI%7C?hl=en","www.google.com","Very cool place!","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Evan Buck","True","Mediocre food for on campus dining","3","5.0","","4 years ago","2021-01-26","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN5aXBlYm5RRRAB!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgICyipebnQE%7CCgwIltK9gAYQkKuOkgM%7C?hl=en","www.google.com","Mediocre food for on campus dining","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Claire Wilder","True","No forks","5","5.0","","6 years ago","2018-09-14","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNRdWRiRUNBEAE!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgICQudbECA%7CCgwI0KPw3AUQsJDZugI%7C?hl=en","www.google.com","No forks","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Kavita C","False","","3","5.0","","6 years ago","2018-06-26","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRbGUtMC1RRRAB!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgIDQle-0-QE%7CCgwInMLK2QUQgOT-tAI%7C?hl=en","www.google.com","","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
"Last Hour","True","The best","5","5.0","","3 years ago","2021-03-19","","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR5eDhmSXlBRRAB!2m1!1s0x0:0xd1aee3a51a1b97fd!3m1!1s2@1:CIHM0ogKEICAgIDyx8fIyAE%7CCgsIwJfUggYQiN33eQ%7C?hl=en","www.google.com","The best","","Seasons Marketplace","253","3.9","224 Beach Rd, Ames, IA 50011","ChIJOztajZ5w7ocR_ZcbGqXjrtE","https://www.google.com/search?q=google+review+seasons+marketplace&rlz=1C1CHBF_enUS1015US1015&oq=google+review+seasons+marketplace&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORigATIGCAEQRRhA0gEIODI5MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd,1,,,,","https://www.google.com/maps/place/Seasons+Marketplace,+224+Beach+Rd,+Ames,+IA+50011/@42.0238084,-93.6382529,2964a,13.1y/data=!4m2!3m1!1s0x87ee709e8d5a3b3b:0xd1aee3a51a1b97fd"
